Events for energy 89.716412 GeV:
Cross section pb: 0.2482821978359315
Total number of events: 997984

pid = -321, p = (0.06593566316145821, 0.040274500707187466, 3.842729703943995, 3.8750820722995347), Parent_PIDs = (333, 90), theta = 0.020103530865477604, phi = 0.5483338736751392
pid = 22, p = (-0.02961143483542348, -0.030650801172360884, 0.02378570654956736, 0.0488064393454619), Parent_PIDs = (111, 90), theta = 1.061746564263868, phi = 3.9442364979179927
pid = 22, p = (-0.004847106372162381, -0.3875610913053372, 0.6309114518908607, 0.7404568549625296), Parent_PIDs = (111, 90), theta = 0.5508937931649618, phi = 4.699882942547394
pid = 211, p = (-0.34023549035393463, 0.424237563533051, 1.8003608027719327, 1.8858728759559695), Parent_PIDs = (310, 90), theta = 0.2933459978918438, phi = 2.2467512374311998
pid = -211, p = (-0.34973386592847305, -0.02189759869947111, 1.407988224794988, 1.4576364114097244), Parent_PIDs = (310, 90), theta = 0.24392334114137504, phi = 3.2041232032702998

pid = -11, p = (1.4646627100207024, -0.1405351632234198, 35.734967788083125, 35.76524723894254), Parent_PIDs = (-11, -11), theta = 0.041151815332389104, phi = 6.187527617621508
pid = 2212, p = (-0.28861921120524703, -0.09499381839855639, 4.8730703728740865, 4.971869902410346), Parent_PIDs = (3122, 90), theta = 0.062272284319279794, phi = 3.459557254786891
pid = -211, p = (-0.0800300934849913, 0.019322045651091815, 1.5301466518676983, 1.5387029337832843), Parent_PIDs = (3122, 90), theta = 0.053753184619061534, phi = 2.904691505496361
pid = 13, p = (-0.22481289904052096, 0.13138955459363957, 0.6994105498918364, 0.7537527496011662), Parent_PIDs = (223, 90), theta = 0.35640341898123107, phi = 2.6126932220855097
pid = -13, p = (-0.08998675160987671, 0.023394973335404717, 0.39053637401923225, 0.41512363854007606), Parent_PIDs = (223, 90), theta = 0.23372699334394234, phi = 2.8872410631567336
pid = 321, p = (-0.12272152035153716, 0.037019834978772495, 2.905912565305631, 2.9503353740448564), Parent_PIDs = (333, 90), theta = 0.044082735148116246, phi = 2.8486161508229015
pid = -321, p = (0.06593566316145821, 0.040274500707187466, 3.842729703943995, 3.8750820722995347), Parent_PIDs = (333, 90), theta = 0.020103530865477604, phi = 0.5483338736751392
pid = 22, p = (-0.02961143483542348, -0.030650801172360884, 0.02378570654956736, 0.0488064393454619), Parent_PIDs = (111, 90), theta = 1.061746564263868, phi = 3.9442364979179927
pid = 22, p = (-0.004847106372162381, -0.3875610913053372, 0.6309114518908607, 0.7404568549625296), Parent_PIDs = (111, 90), theta = 0.5508937931649618, phi = 4.699882942547394
pid = 211, p = (-0.34023549035393463, 0.424237563533051, 1.8003608027719327, 1.8858728759559695), Parent_PIDs = (310, 90), theta = 0.2933459978918438, phi = 2.2467512374311998
pid = -211, p = (-0.34973386592847305, -0.02189759869947111, 1.407988224794988, 1.4576364114097244), Parent_PIDs = (310, 90), theta = 0.24392334114137504, phi = 3.2041232032702998

pid = -11, p = (1.4646627100207024, -0.1405351632234198, 35.734967788083125, 35.76524723894254), Parent_PIDs = (-11, -11), theta = 0.041151815332389104, phi = 6.187527617621508
pid = 2212, p = (-0.28861921120524703, -0.09499381839855639, 4.8730703728740865, 4.971869902410346), Parent_PIDs = (3122, 90), theta = 0.062272284319279794, phi = 3.459557254786891
pid = -211, p = (-0.0800300934849913, 0.019322045651091815, 1.5301466518676983, 1.5387029337832843), Parent_PIDs = (3122, 90), theta = 0.053753184619061534, phi = 2.904691505496361
pid = 13, p = (-0.22481289904052096, 0.13138955459363957, 0.6994105498918364, 0.7537527496011662), Parent_PIDs = (223, 90), theta = 0.35640341898123107, phi = 2.6126932220855097
pid = -13, p = (-0.08998675160987671, 0.023394973335404717, 0.39053637401923225, 0.41512363854007606), Parent_PIDs = (223, 90), theta = 0.23372699334394234, phi = 2.8872410631567336
pid = 321, p = (-0.12272152035153716, 0.037019834978772495, 2.905912565305631, 2.9503353740448564), Parent_PIDs = (333, 90), theta = 0.044082735148116246, phi = 2.8486161508229015
pid = -321, p = (0.06593566316145821, 0.040274500707187466, 3.842729703943995, 3.8750820722995347), Parent_PIDs = (333, 90), theta = 0.020103530865477604, phi = 0.5483338736751392
pid = 22, p = (-0.02961143483542348, -0.030650801172360884, 0.02378570654956736, 0.0488064393454619), Parent_PIDs = (111, 90), theta = 1.061746564263868, phi = 3.9442364979179927
pid = 22, p = (-0.004847106372162381, -0.3875610913053372, 0.6309114518908607, 0.7404568549625296), Parent_PIDs = (111, 90), theta = 0.5508937931649618, phi = 4.699882942547394
pid = 211, p = (-0.34023549035393463, 0.424237563533051, 1.8003608027719327, 1.8858728759559695), Parent_PIDs = (310, 90), theta = 0.2933459978918438, phi = 2.2467512374311998
pid = -211, p = (-0.34973386592847305, -0.02189759869947111, 1.407988224794988, 1.4576364114097244), Parent_PIDs = (310, 90), theta = 0.24392334114137504, phi = 3.2041232032702998

pid = -11, p = (1.4646627100207024, -0.1405351632234198, 35.734967788083125, 35.76524723894254), Parent_PIDs = (-11, -11), theta = 0.041151815332389104, phi = 6.187527617621508
pid = 2212, p = (-0.28861921120524703, -0.09499381839855639, 4.8730703728740865, 4.971869902410346), Parent_PIDs = (3122, 90), theta = 0.062272284319279794, phi = 3.459557254786891
pid = -211, p = (-0.0800300934849913, 0.019322045651091815, 1.5301466518676983, 1.5387029337832843), Parent_PIDs = (3122, 90), theta = 0.053753184619061534, phi = 2.904691505496361
pid = 13, p = (-0.22481289904052096, 0.13138955459363957, 0.6994105498918364, 0.7537527496011662), Parent_PIDs = (223, 90), theta = 0.35640341898123107, phi = 2.6126932220855097
pid = -13, p = (-0.08998675160987671, 0.023394973335404717, 0.39053637401923225, 0.41512363854007606), Parent_PIDs = (223, 90), theta = 0.23372699334394234, phi = 2.8872410631567336
pid = 321, p = (-0.12272152035153716, 0.037019834978772495, 2.905912565305631, 2.9503353740448564), Parent_PIDs = (333, 90), theta = 0.044082735148116246, phi = 2.8486161508229015
pid = -321, p = (0.06593566316145821, 0.040274500707187466, 3.842729703943995, 3.8750820722995347), Parent_PIDs = (333, 90), theta = 0.020103530865477604, phi = 0.5483338736751392
pid = 22, p = (-0.02961143483542348, -0.030650801172360884, 0.02378570654956736, 0.0488064393454619), Parent_PIDs = (111, 90), theta = 1.061746564263868, phi = 3.9442364979179927
pid = 22, p = (-0.004847106372162381, -0.3875610913053372, 0.6309114518908607, 0.7404568549625296), Parent_PIDs = (111, 90), theta = 0.5508937931649618, phi = 4.699882942547394
pid = 211, p = (-0.34023549035393463, 0.424237563533051, 1.8003608027719327, 1.8858728759559695), Parent_PIDs = (310, 90), theta = 0.2933459978918438, phi = 2.2467512374311998
pid = -211, p = (-0.34973386592847305, -0.02189759869947111, 1.407988224794988, 1.4576364114097244), Parent_PIDs = (310, 90), theta = 0.24392334114137504, phi = 3.2041232032702998

pid = -11, p = (1.4646627100207024, -0.1405351632234198, 35.734967788083125, 35.76524723894254), Parent_PIDs = (-11, -11), theta = 0.041151815332389104, phi = 6.187527617621508
pid = 2212, p = (-0.28861921120524703, -0.09499381839855639, 4.8730703728740865, 4.971869902410346), Parent_PIDs = (3122, 90), theta = 0.062272284319279794, phi = 3.459557254786891
pid = -211, p = (-0.0800300934849913, 0.019322045651091815, 1.5301466518676983, 1.5387029337832843), Parent_PIDs = (3122, 90), theta = 0.053753184619061534, phi = 2.904691505496361
pid = 13, p = (-0.22481289904052096, 0.13138955459363957, 0.6994105498918364, 0.7537527496011662), Parent_PIDs = (223, 90), theta = 0.35640341898123107, phi = 2.6126932220855097
pid = -13, p = (-0.08998675160987671, 0.023394973335404717, 0.39053637401923225, 0.41512363854007606), Parent_PIDs = (223, 90), theta = 0.23372699334394234, phi = 2.8872410631567336
pid = 321, p = (-0.12272152035153716, 0.037019834978772495, 2.905912565305631, 2.9503353740448564), Parent_PIDs = (333, 90), theta = 0.044082735148116246, phi = 2.8486161508229015
pid = -321, p = (0.06593566316145821, 0.040274500707187466, 3.842729703943995, 3.8750820722995347), Parent_PIDs = (333, 90), theta = 0.020103530865477604, phi = 0.5483338736751392
pid = 22, p = (-0.02961143483542348, -0.030650801172360884, 0.02378570654956736, 0.0488064393454619), Parent_PIDs = (111, 90), theta = 1.061746564263868, phi = 3.9442364979179927
pid = 22, p = (-0.004847106372162381, -0.3875610913053372, 0.6309114518908607, 0.7404568549625296), Parent_PIDs = (111, 90), theta = 0.5508937931649618, phi = 4.699882942547394
pid = 211, p = (-0.34023549035393463, 0.424237563533051, 1.8003608027719327, 1.8858728759559695), Parent_PIDs = (310, 90), theta = 0.2933459978918438, phi = 2.2467512374311998
pid = -211, p = (-0.34973386592847305, -0.02189759869947111, 1.407988224794988, 1.4576364114097244), Parent_PIDs = (310, 90), theta = 0.24392334114137504, phi = 3.2041232032702998

pid = -11, p = (1.4646627100207024, -0.1405351632234198, 35.734967788083125, 35.76524723894254), Parent_PIDs = (-11, -11), theta = 0.041151815332389104, phi = 6.187527617621508
pid = 2212, p = (-0.28861921120524703, -0.09499381839855639, 4.8730703728740865, 4.971869902410346), Parent_PIDs = (3122, 90), theta = 0.062272284319279794, phi = 3.459557254786891
pid = -211, p = (-0.0800300934849913, 0.019322045651091815, 1.5301466518676983, 1.5387029337832843), Parent_PIDs = (3122, 90), theta = 0.053753184619061534, phi = 2.904691505496361
pid = 13, p = (-0.22481289904052096, 0.13138955459363957, 0.6994105498918364, 0.7537527496011662), Parent_PIDs = (223, 90), theta = 0.35640341898123107, phi = 2.6126932220855097
pid = -13, p = (-0.08998675160987671, 0.023394973335404717, 0.39053637401923225, 0.41512363854007606), Parent_PIDs = (223, 90), theta = 0.23372699334394234, phi = 2.8872410631567336
pid = 321, p = (-0.12272152035153716, 0.037019834978772495, 2.905912565305631, 2.9503353740448564), Parent_PIDs = (333, 90), theta = 0.044082735148116246, phi = 2.8486161508229015
pid = -321, p = (0.06593566316145821, 0.040274500707187466, 3.842729703943995, 3.8750820722995347), Parent_PIDs = (333, 90), theta = 0.020103530865477604, phi = 0.5483338736751392
pid = 22, p = (-0.02961143483542348, -0.030650801172360884, 0.02378570654956736, 0.0488064393454619), Parent_PIDs = (111, 90), theta = 1.061746564263868, phi = 3.9442364979179927
pid = 22, p = (-0.004847106372162381, -0.3875610913053372, 0.6309114518908607, 0.7404568549625296), Parent_PIDs = (111, 90), theta = 0.5508937931649618, phi = 4.699882942547394
pid = 211, p = (-0.34023549035393463, 0.424237563533051, 1.8003608027719327, 1.8858728759559695), Parent_PIDs = (310, 90), theta = 0.2933459978918438, phi = 2.2467512374311998
pid = -211, p = (-0.34973386592847305, -0.02189759869947111, 1.407988224794988, 1.4576364114097244), Parent_PIDs = (310, 90), theta = 0.24392334114137504, phi = 3.2041232032702998

pid = -11, p = (-0.34066949568913074, -0.5392464291191028, 3.6560680047281635, 3.711290332610583), Parent_PIDs = (-12, -1), theta = 0.1727228260012215, phi = 4.148949703434423
pid = 2212, p = (0.7307248556838443, -0.8131552076359654, 1.9365891544646563, 2.413691851191822), Parent_PIDs = (2212, 90), theta = 0.5139224862305929, phi = 5.44444611016188
pid = 211, p = (0.4631259099074646, 0.08638833026161752, 5.889129803375981, 5.90959204835192), Parent_PIDs = (113, 90), theta = 0.07982724832940856, phi = 0.184413763567237
pid = -211, p = (-0.15405138688087133, -0.3274045205884683, 3.6803278562700883, 3.70070513070675), Parent_PIDs = (113, 90), theta = 0.09800138414178489, phi = 4.272599732722675
pid = -211, p = (0.15806992401265277, 0.37821561562997685, 7.074547205488231, 7.087787461568319), Parent_PIDs = (-213, 90), theta = 0.057878000272030015, phi = 1.1749241269942923
pid = 22, p = (-0.3535483881092016, 0.3965779506668887, 6.058988575121347, 6.082237506636909), Parent_PIDs = (221, 90), theta = 0.08746277347474275, phi = 2.2988941972965837
pid = 13, p = (-0.15394508108634752, 0.3810101473905488, 7.386698136559061, 7.398874320911949), Parent_PIDs = (221, 90), theta = 0.055574512900626725, phi = 1.9547845318751862
pid = -13, p = (-0.27823430805424043, 0.758248757767592, 15.00806147290102, 15.030150655226661), Parent_PIDs = (221, 90), theta = 0.05376489700626619, phi = 1.9224849558990345
pid = 22, p = (-0.04833913948593808, -0.3073692913809936, 8.996105103377522, 9.001484298975662), Parent_PIDs = (111, 90), theta = 0.03457309278731139, phi = 4.556399334424265
pid = 22, p = (-0.023132890298121548, -0.013265352992051609, 2.4128093994364908, 2.4129567543187806), Parent_PIDs = (111, 90), theta = 0.011051588445894373, phi = 3.6622546849021167

pid = -11, p = (-0.34066949568913074, -0.5392464291191028, 3.6560680047281635, 3.711290332610583), Parent_PIDs = (-12, -1), theta = 0.1727228260012215, phi = 4.148949703434423
pid = 2212, p = (0.7307248556838443, -0.8131552076359654, 1.9365891544646563, 2.413691851191822), Parent_PIDs = (2212, 90), theta = 0.5139224862305929, phi = 5.44444611016188
pid = 211, p = (0.4631259099074646, 0.08638833026161752, 5.889129803375981, 5.90959204835192), Parent_PIDs = (113, 90), theta = 0.07982724832940856, phi = 0.184413763567237
pid = -211, p = (-0.15405138688087133, -0.3274045205884683, 3.6803278562700883, 3.70070513070675), Parent_PIDs = (113, 90), theta = 0.09800138414178489, phi = 4.272599732722675
pid = -211, p = (0.15806992401265277, 0.37821561562997685, 7.074547205488231, 7.087787461568319), Parent_PIDs = (-213, 90), theta = 0.057878000272030015, phi = 1.1749241269942923
pid = 22, p = (-0.3535483881092016, 0.3965779506668887, 6.058988575121347, 6.082237506636909), Parent_PIDs = (221, 90), theta = 0.08746277347474275, phi = 2.2988941972965837
pid = 13, p = (-0.15394508108634752, 0.3810101473905488, 7.386698136559061, 7.398874320911949), Parent_PIDs = (221, 90), theta = 0.055574512900626725, phi = 1.9547845318751862
pid = -13, p = (-0.27823430805424043, 0.758248757767592, 15.00806147290102, 15.030150655226661), Parent_PIDs = (221, 90), theta = 0.05376489700626619, phi = 1.9224849558990345
pid = 22, p = (-0.04833913948593808, -0.3073692913809936, 8.996105103377522, 9.001484298975662), Parent_PIDs = (111, 90), theta = 0.03457309278731139, phi = 4.556399334424265
pid = 22, p = (-0.023132890298121548, -0.013265352992051609, 2.4128093994364908, 2.4129567543187806), Parent_PIDs = (111, 90), theta = 0.011051588445894373, phi = 3.6622546849021167

pid = -11, p = (-0.34066949568913074, -0.5392464291191028, 3.6560680047281635, 3.711290332610583), Parent_PIDs = (-12, -1), theta = 0.1727228260012215, phi = 4.148949703434423
pid = 2212, p = (0.7307248556838443, -0.8131552076359654, 1.9365891544646563, 2.413691851191822), Parent_PIDs = (2212, 90), theta = 0.5139224862305929, phi = 5.44444611016188
pid = 211, p = (0.4631259099074646, 0.08638833026161752, 5.889129803375981, 5.90959204835192), Parent_PIDs = (113, 90), theta = 0.07982724832940856, phi = 0.184413763567237
pid = -211, p = (-0.15405138688087133, -0.3274045205884683, 3.6803278562700883, 3.70070513070675), Parent_PIDs = (113, 90), theta = 0.09800138414178489, phi = 4.272599732722675
pid = -211, p = (0.15806992401265277, 0.37821561562997685, 7.074547205488231, 7.087787461568319), Parent_PIDs = (-213, 90), theta = 0.057878000272030015, phi = 1.1749241269942923
pid = 22, p = (-0.3535483881092016, 0.3965779506668887, 6.058988575121347, 6.082237506636909), Parent_PIDs = (221, 90), theta = 0.08746277347474275, phi = 2.2988941972965837
pid = 13, p = (-0.15394508108634752, 0.3810101473905488, 7.386698136559061, 7.398874320911949), Parent_PIDs = (221, 90), theta = 0.055574512900626725, phi = 1.9547845318751862
pid = -13, p = (-0.27823430805424043, 0.758248757767592, 15.00806147290102, 15.030150655226661), Parent_PIDs = (221, 90), theta = 0.05376489700626619, phi = 1.9224849558990345
