Events for energy 2837.082046 GeV:
Cross section pb: 8.920350551558172
Total number of events: 999976

pid = -211, p = (0.09634540584501822, 0.1625989244007478, 0.7829853157205493, 0.8174757714927884), Parent_PIDs = (221, 90), theta = 0.23685255152184503, phi = 1.0358845513392319
pid = 22, p = (0.04536165181771645, 0.07219177947375133, 0.8843096215853768, 0.8884102877092843), Parent_PIDs = (111, 90), theta = 0.09611753049125504, phi = 1.0097921733924073
pid = 22, p = (0.19630671592760116, 0.46810799444706175, 9.78295350713699, 9.796113553036612), Parent_PIDs = (111, 90), theta = 0.05184005164876203, phi = 1.173710771044451
pid = 211, p = (-0.1464971852614766, -0.277535519682132, 26.071337955142646, 26.073600249028445), Parent_PIDs = (223, 90), theta = 0.012036660756019503, phi = 4.226710228690353
pid = -211, p = (0.08992121090013526, 0.01616271449585241, 48.29401971047206, 48.29430780783458), Parent_PIDs = (223, 90), theta = 0.0018917895830473067, phi = 0.17784406026741378
pid = 22, p = (0.11089745053968082, 0.005298982988301296, 13.258763906709968, 13.259228735399049), Parent_PIDs = (111, 90), theta = 0.008373433924385802, phi = 0.047746414527439045
pid = 22, p = (0.4302002476401057, 0.3006596052669064, 67.17834699100297, 67.18039723680494), Parent_PIDs = (111, 90), theta = 0.007812639485745135, phi = 0.6099758527663213
pid = 22, p = (0.21109546052448458, 0.13405293913221691, 10.584585441641748, 10.587538923440063), Parent_PIDs = (111, 90), theta = 0.02362080713396775, phi = 0.5657827469184619
pid = 22, p = (0.006561622282612021, 0.03222199966744915, 0.42117387215194213, 0.4224556103699051), Parent_PIDs = (111, 90), theta = 0.0779173170101284, phi = 1.3699051881691011
pid = 211, p = (-0.03854922621544968, 0.22285043059897258, 40.53980467542029, 40.5406757622932), Parent_PIDs = (310, 90), theta = 0.005578657357702485, phi = 1.742083781879889
pid = -211, p = (0.06020395293124928, -0.15734494149553432, 19.378686849185232, 19.379921716308537), Parent_PIDs = (310, 90), theta = 0.00869332274969306, phi = 5.077826906114606
pid = 211, p = (-0.00507883309768227, -0.22391056735858358, 4.041177442120089, 4.049784764690681), Parent_PIDs = (310, 90), theta = 0.055364872143198275, phi = 4.689710451095613
pid = -211, p = (-0.09891552263384384, 0.1530992998773833, 6.196172256933755, 6.2004237031622615), Parent_PIDs = (310, 90), theta = 0.029408652947028005, phi = 2.144416090947888
pid = 22, p = (0.24474847621108478, -0.18341947383706395, 1.2416904109285543, 1.278803971131712), Parent_PIDs = (111, 90), theta = 0.24151009919654223, phi = 5.64005531651322
pid = 22, p = (0.18595626708885124, -0.10980591734326511, 1.4712150181275687, 1.4869803974220106), Parent_PIDs = (111, 90), theta = 0.14574680573274815, phi = 5.749785403297186
