Events for energy 56.607229 GeV:
Cross section pb: 0.14656614455687686
Total number of events: 996200

pid = -13, p = (-0.2017461201966403, 0.15739107785773832, 2.2504133473571404, 2.2673768363390296), Parent_PIDs = (221, 90), theta = 0.1132163515858288, phi = 2.4790766737680374
pid = 22, p = (-0.5906349581431267, 0.2819786436863855, 2.5851468175797963, 2.666710647542941), Parent_PIDs = (111, 90), theta = 0.2479642420136946, phi = 2.696174835625924
pid = 22, p = (-0.36883674800612753, 0.2192844336678083, 2.161741303578861, 2.203917347163359), Parent_PIDs = (111, 90), theta = 0.1959500115850646, phi = 2.605205076447667

pid = -11, p = (0.9971554644078997, -1.56244607536418, 15.972830584973838, 16.080014736187778), Parent_PIDs = (-12, 2), theta = 0.11552569263307173, phi = 5.280425251716304
pid = 2112, p = (0.7390287230028135, 0.25733166709905525, 2.9872372200896247, 3.2278105635715266), Parent_PIDs = (1, 2101), theta = 0.2562069597225175, phi = 0.33507260839126085
pid = 22, p = (-0.006405205278605747, 0.05316060512966516, 0.07940469058417082, 0.09577150661434322), Parent_PIDs = (221, 90), theta = 0.5932903167213871, phi = 1.6907061174790394
pid = 13, p = (-0.5685611557862199, 0.5932996479235262, 7.262279875199763, 7.309387066055993), Parent_PIDs = (221, 90), theta = 0.11267336090059596, phi = 2.334905576204893
pid = -13, p = (-0.2017461201966403, 0.15739107785773832, 2.2504133473571404, 2.2673768363390296), Parent_PIDs = (221, 90), theta = 0.1132163515858288, phi = 2.4790766737680374
pid = 22, p = (-0.5906349581431267, 0.2819786436863855, 2.5851468175797963, 2.666710647542941), Parent_PIDs = (111, 90), theta = 0.2479642420136946, phi = 2.696174835625924
pid = 22, p = (-0.36883674800612753, 0.2192844336678083, 2.161741303578861, 2.203917347163359), Parent_PIDs = (111, 90), theta = 0.1959500115850646, phi = 2.605205076447667

pid = -11, p = (0.9971554644078997, -1.56244607536418, 15.972830584973838, 16.080014736187778), Parent_PIDs = (-12, 2), theta = 0.11552569263307173, phi = 5.280425251716304
pid = 2112, p = (0.7390287230028135, 0.25733166709905525, 2.9872372200896247, 3.2278105635715266), Parent_PIDs = (1, 2101), theta = 0.2562069597225175, phi = 0.33507260839126085
pid = 22, p = (-0.006405205278605747, 0.05316060512966516, 0.07940469058417082, 0.09577150661434322), Parent_PIDs = (221, 90), theta = 0.5932903167213871, phi = 1.6907061174790394
pid = 13, p = (-0.5685611557862199, 0.5932996479235262, 7.262279875199763, 7.309387066055993), Parent_PIDs = (221, 90), theta = 0.11267336090059596, phi = 2.334905576204893
pid = -13, p = (-0.2017461201966403, 0.15739107785773832, 2.2504133473571404, 2.2673768363390296), Parent_PIDs = (221, 90), theta = 0.1132163515858288, phi = 2.4790766737680374
pid = 22, p = (-0.5906349581431267, 0.2819786436863855, 2.5851468175797963, 2.666710647542941), Parent_PIDs = (111, 90), theta = 0.2479642420136946, phi = 2.696174835625924
pid = 22, p = (-0.36883674800612753, 0.2192844336678083, 2.161741303578861, 2.203917347163359), Parent_PIDs = (111, 90), theta = 0.1959500115850646, phi = 2.605205076447667

pid = -11, p = (0.9971554644078997, -1.56244607536418, 15.972830584973838, 16.080014736187778), Parent_PIDs = (-12, 2), theta = 0.11552569263307173, phi = 5.280425251716304
pid = 2112, p = (0.7390287230028135, 0.25733166709905525, 2.9872372200896247, 3.2278105635715266), Parent_PIDs = (1, 2101), theta = 0.2562069597225175, phi = 0.33507260839126085
pid = 22, p = (-0.006405205278605747, 0.05316060512966516, 0.07940469058417082, 0.09577150661434322), Parent_PIDs = (221, 90), theta = 0.5932903167213871, phi = 1.6907061174790394
pid = 13, p = (-0.5685611557862199, 0.5932996479235262, 7.262279875199763, 7.309387066055993), Parent_PIDs = (221, 90), theta = 0.11267336090059596, phi = 2.334905576204893
pid = -13, p = (-0.2017461201966403, 0.15739107785773832, 2.2504133473571404, 2.2673768363390296), Parent_PIDs = (221, 90), theta = 0.1132163515858288, phi = 2.4790766737680374
pid = 22, p = (-0.5906349581431267, 0.2819786436863855, 2.5851468175797963, 2.666710647542941), Parent_PIDs = (111, 90), theta = 0.2479642420136946, phi = 2.696174835625924
pid = 22, p = (-0.36883674800612753, 0.2192844336678083, 2.161741303578861, 2.203917347163359), Parent_PIDs = (111, 90), theta = 0.1959500115850646, phi = 2.605205076447667

pid = -11, p = (0.9971554644078997, -1.56244607536418, 15.972830584973838, 16.080014736187778), Parent_PIDs = (-12, 2), theta = 0.11552569263307173, phi = 5.280425251716304
pid = 2112, p = (0.7390287230028135, 0.25733166709905525, 2.9872372200896247, 3.2278105635715266), Parent_PIDs = (1, 2101), theta = 0.2562069597225175, phi = 0.33507260839126085
pid = 22, p = (-0.006405205278605747, 0.05316060512966516, 0.07940469058417082, 0.09577150661434322), Parent_PIDs = (221, 90), theta = 0.5932903167213871, phi = 1.6907061174790394
pid = 13, p = (-0.5685611557862199, 0.5932996479235262, 7.262279875199763, 7.309387066055993), Parent_PIDs = (221, 90), theta = 0.11267336090059596, phi = 2.334905576204893
pid = -13, p = (-0.2017461201966403, 0.15739107785773832, 2.2504133473571404, 2.2673768363390296), Parent_PIDs = (221, 90), theta = 0.1132163515858288, phi = 2.4790766737680374
pid = 22, p = (-0.5906349581431267, 0.2819786436863855, 2.5851468175797963, 2.666710647542941), Parent_PIDs = (111, 90), theta = 0.2479642420136946, phi = 2.696174835625924
pid = 22, p = (-0.36883674800612753, 0.2192844336678083, 2.161741303578861, 2.203917347163359), Parent_PIDs = (111, 90), theta = 0.1959500115850646, phi = 2.605205076447667

pid = -11, p = (0.04971138616479828, 0.8275223244617255, 18.619914105225583, 18.638360066446207), Parent_PIDs = (-12, 2), theta = 0.0444935990080651, phi = 1.5107958702469202
pid = 2112, p = (-0.23611053444580643, 0.10630265408057588, 1.6957093626205275, 1.9558298663533529), Parent_PIDs = (1, 2101), theta = 0.15153081580735547, phi = 2.718552377081987
pid = 13, p = (0.2368005591301146, -0.009088939446423347, 2.748773144196278, 2.760991660161126), Parent_PIDs = (223, 90), theta = 0.08599852340477296, phi = 6.2448218837434615
pid = -13, p = (-0.014930846842562795, 0.09319543535055903, 0.5908988907204451, 0.6076461585596249), Parent_PIDs = (223, 90), theta = 0.15839135311019134, phi = 1.7296564047480019
pid = 211, p = (0.07317453029474504, -0.028278132624105147, 0.4271424694099646, 0.4561629519614736), Parent_PIDs = (223, 90), theta = 0.18163466379016913, phi = 5.914416217867616
pid = -211, p = (0.19183402179262266, -0.3398148342481013, 2.1879309997880467, 2.2268354807272406), Parent_PIDs = (223, 90), theta = 0.17649694149428755, phi = 5.226315505656361
pid = 22, p = (0.03859834494070684, -0.04906963323537266, 0.271192800667192, 0.2782861769325438), Parent_PIDs = (111, 90), theta = 0.22626767618356586, phi = 5.378907774562368
