Events for energy 28.37082 GeV:
Cross section pb: 0.047774360710063704
Total number of events: 990840

pid = 22, p = (-0.014710277462008009, 0.057541063612840906, 0.5280670878404761, 0.5313964767713718), Parent_PIDs = (3212, 90), theta = 0.11199920499434718, phi = 1.8210839700388795
pid = 211, p = (-0.02996193288193561, 0.3174022702096545, 1.1057683271857686, 1.159243415708486), Parent_PIDs = (310, 90), theta = 0.2807055287014774, phi = 1.6649147782656766
pid = -211, p = (-0.04258060540437136, -0.12277817614211696, 0.6650978383749913, 0.6918977583461833), Parent_PIDs = (310, 90), theta = 0.1929572081759917, phi = 4.3785595360608065
pid = 2112, p = (-0.8144361752132434, -0.22126853748630862, 7.254413829705284, 7.363530257063968), Parent_PIDs = (3122, 90), theta = 0.11581662191100092, phi = 3.4068725531239643
pid = 22, p = (0.003427276988391792, 0.03177583815242345, 0.7960272300018628, 0.796668564098197), Parent_PIDs = (111, 90), theta = 0.04012799505662841, phi = 1.4633537237396237
pid = 22, p = (-0.12498327798557618, 0.03574286003322263, 0.7132903006401474, 0.7250389126155136), Parent_PIDs = (111, 90), theta = 0.18026682789294396, phi = 2.863046299755208

pid = 14, p = (0.9022403162027205, -0.7068798443166868, 3.775057385217652, 3.945221788970691), Parent_PIDs = (14, 4), theta = 0.2947726105985367, phi = 5.618604102353834
pid = -211, p = (0.21121071575683142, 0.012799748752755184, 0.930005511036396, 0.9639314474985837), Parent_PIDs = (-421, 90), theta = 0.22371514144346386, phi = 0.060527770986873584
pid = 211, p = (0.009632229798225575, -0.2710452819803002, 1.041409516223686, 1.0851598454218245), Parent_PIDs = (-421, 90), theta = 0.2547726769938739, phi = 4.747911377013812
pid = -13, p = (0.17639237176276246, 0.44763465467608826, 2.2511938769560618, 2.304458496073977), Parent_PIDs = (4122, 90), theta = 0.21055664726154297, phi = 1.195426016511136
pid = 14, p = (0.12667166553960205, 0.20504966449384876, 0.38632408922567457, 0.45534314277878785), Parent_PIDs = (4122, 90), theta = 0.5577954365021673, phi = 1.0174196000000066
pid = 22, p = (0.05505883311935117, -0.048461791007511766, 0.2586003291537629, 0.2688013216681696), Parent_PIDs = (111, 90), theta = 0.27637809772060645, phi = 5.56142792480674
pid = 22, p = (-0.03217613712223617, -0.1577976596601013, 1.1810112959619572, 1.1919408904740432), Parent_PIDs = (111, 90), theta = 0.1355258315731048, phi = 4.511238981920375
pid = 22, p = (-0.28017038024561075, 0.12391732209212958, 1.0276409285442176, 1.072332421733427), Parent_PIDs = (111, 90), theta = 0.2897228230821711, phi = 2.7251665513176375
pid = 22, p = (-0.1042053735324839, 0.15303853515952154, 0.7174766921070336, 0.7409806723752432), Parent_PIDs = (111, 90), theta = 0.25254396128705897, phi = 2.1685945602857823
pid = 22, p = (-0.053101877041324325, 0.16656085142469734, 0.16215747956766727, 0.23844784493127733), Parent_PIDs = (111, 90), theta = 0.8229596473598483, phi = 1.879422771080812
pid = 22, p = (0.011692627720905154, -0.023231518014156405, 0.018141651837998474, 0.031710258650362796), Parent_PIDs = (111, 90), theta = 0.9617241651139966, phi = 5.1786801336186805
