ievent,iparticle,truth_energy,pid,px,py,pz,e,parent_pid
21,2,89.716412,211,-0.8798002892714385,0.7482596814521459,2.2894715476880343,2.5680928434272032,8
21,3,89.716412,2112,0.23733371719268387,-0.16736801343342425,2.0252357030477497,2.2513797509608326,8
22,0,89.716412,13,-1.04852846200518,-0.27132296740034556,6.253735320608329,6.3477080575667655,3
22,1,89.716412,211,-0.272780554335704,-0.16140012329696962,-0.28534136421297784,0.44873010780967765,2
22,2,89.716412,211,0.6874356826927017,0.5718945198811239,55.71141985006065,55.71877073890217,11
22,3,89.716412,-211,0.4357497778796564,-0.5346868097391719,8.576716871007719,8.605540071591072,11
22,4,89.716412,2212,0.22191049659302964,0.10290116478060773,13.00574765735485,13.041842493984602,11
22,5,89.716412,22,-0.07859488500300055,0.015104088799805567,1.770821218806676,1.7726288608795324,13
22,6,89.716412,22,0.03367474281157343,0.012151097747549206,3.497304509467062,3.497487736850344,13
22,7,89.716412,22,0.07761567000611205,0.15576339502195108,0.7618930969639014,0.7815161666021363,15
22,8,89.716412,22,-0.05648246863923257,0.10959563420560511,0.44937603385525243,0.4659831457295254,15
23,0,89.716412,13,1.8057721060804783,-0.7961038519300104,31.600019151673667,31.661758774014732,3
23,1,89.716412,2212,0.1791349875662377,1.0864727169515507,0.9221122453394957,1.7155622676998643,2
23,2,89.716412,211,-0.17718338715430731,-0.14194924762282746,1.316997689099363,1.3436912739082678,13
23,3,89.716412,211,-0.0801521907385878,0.0194506136596385,5.385260577194586,5.387700248643955,14
23,4,89.716412,-211,0.041083326075050046,0.0824272097987886,2.192379846180934,2.198747657062298,14
23,5,89.716412,22,-0.35954442412290877,-0.18718006857429692,15.494148019713265,15.49944939111625,15
23,6,89.716412,22,-0.2852583598122874,-0.0255718857433163,11.852604196907109,11.856063954859694,15
23,7,89.716412,22,-0.8994091310170447,-0.007566161146636115,15.29193046515961,15.318359291485104,17
23,8,89.716412,22,-0.19248474370859392,0.05315493907239279,3.973562072691045,3.9785765506820536,17
23,9,89.716412,22,-0.0751154496055255,-0.042876832636045456,1.3559622914686567,1.3587179580145659,20
23,10,89.716412,22,0.04315726643742171,-0.04025743182924605,0.3552860613293748,0.3601546832109468,20
24,0,89.716412,13,1.258135588728684,-2.6384068396833005,70.46588875927335,70.52656760740028,5
24,1,89.716412,22,-0.8647819239825683,0.3161666745940013,3.618800045046993,3.734102691169987,8
24,2,89.716412,2212,0.599052779897336,0.17313949547618554,2.2890352133154614,2.5512495602536878,18
24,3,89.716412,211,-0.2848343160422431,0.0329648243677228,1.2695592127470217,1.3089987191787793,18
24,4,89.716412,22,-0.12307429715222873,0.07891503649635856,0.009427935788405555,0.14650512474984406,17
24,5,89.716412,22,0.0257717768321903,0.028732183595701136,0.04444863448638811,0.05886768182092752,17
24,6,89.716412,22,0.19020500507433355,0.34524826319813573,1.268904348028829,1.3287183868838133,19
24,7,89.716412,22,-0.23438593075969394,0.2412399043593664,0.3924951916018865,0.5169003109149827,19
24,8,89.716412,22,-0.01820662394526172,0.33292169370018215,2.730281674775889,2.750564734542474,22
24,9,89.716412,22,-0.07943126737842247,0.08692806242411696,0.8635689916846786,0.871560220336751,22
24,10,89.716412,22,-0.031691796860199115,0.24892170540016317,1.5427329226308453,1.563007119618034,23
24,11,89.716412,22,-0.2735689615857942,0.5491099337542169,3.469249745962237,3.523074721879985,23
24,12,89.716412,22,-0.16497050332840443,0.22047332803346303,1.6638573602193631,1.686488977283494,24
24,13,89.716412,22,0.0017804705022749154,-0.016354265716314122,0.17159749072871688,0.17238425365073623,24
25,0,89.716412,13,-0.8501319858718748,-0.8677881356541257,48.14276909838862,48.158209696147836,3
25,1,89.716412,211,-0.2887802527171697,0.7143126722493149,8.056993303623134,8.09495259452601,8
25,2,89.716412,-211,0.024625036195699536,-0.3179196907358008,0.9984672347433068,1.057400551314937,8
25,3,89.716412,211,0.27734277375470573,0.3131237090029567,2.9744918951517034,3.006999715749387,8
25,4,89.716412,-211,-0.20629199597160836,-0.10259319099581708,0.36786005348308115,0.4559413934808175,8
25,5,89.716412,2212,0.019654720397722536,0.035477421181760935,3.1342979506138486,3.271974815240758,8
25,6,89.716412,211,0.21898846219234458,-0.024711647243967315,0.6330363285663312,0.6846761207078996,17
25,7,89.716412,22,-0.04117693952832624,-0.03895352271157105,0.14493193274438423,0.15562192136579928,10
25,8,89.716412,22,0.19665704219029215,-0.032103558195379245,2.485872336045741,2.493845605046421,11
25,9,89.716412,22,0.8486552567151024,0.06735336456834023,13.271560872167461,13.298837550858163,11
25,10,89.716412,22,-0.43009499863881434,-0.01908017004552235,0.24405008912517578,0.4948799922658967,19
25,11,89.716412,22,-0.3789493478638248,-0.009468755866422963,0.3741954216276994,0.5326485512523315,19
25,12,89.716412,211,-0.15403431980142956,-0.02114860376547832,1.8792658196357814,1.8908446897800097,20
25,13,89.716412,-211,0.7635365489471838,0.3035001082117122,7.017147338412708,7.066465660509165,20
26,0,89.716412,13,-0.4874795539322284,-3.415405653534752,68.49773929894117,68.58464904914953,3
26,1,89.716412,321,0.030668857286792167,0.9522716245156914,5.929973053511721,6.026280957891041,8
