Energy,Cross_section_pb,pid,momentum,parent_pids,theta,phi
449.647202,7.6689e-07,,,,,
,,-211,"(-0.1794482480071185, 0.09782656672551128, 2.4911440791868067, 2.5034077412674147)","(221, 90)",0.08185980251649683,2.642479153180903
,,22,"(0.07212132449568034, -0.06323588171352365, 0.3454133694017417, 0.3584838321940928)","(221, 90)",0.2708657848946421,5.563337496922021
,,22,"(-0.08645447112584835, 0.025545935924565524, 0.855708936675925, 0.8604445099638639)","(111, 90)",0.10496372372132012,2.854283866179541
,,22,"(-0.7625236805280563, 0.6015102972388106, 11.900588323990835, 11.940153242658045)","(111, 90)",0.08143014016312025,2.473692827462511
,,,,,,
,,-13,"(1.7734124532699151, 0.47514309141044303, 14.609736006595565, 14.725023018818778)","(14, 2)",0.12501163023141326,0.261777636491415
,,39,"(-0.6336809784497696, 0.4411775797721755, 387.9177440013832, 388.43130582540124)","(39, 39)",0.001990452635523401,2.533412139078829
,,-211,"(0.019082052959870786, 0.30717567064458146, 7.036150964302919, 7.044261579096991)","(1, 2101)",0.04371306749014492,1.5087550732801926
,,211,"(-0.45549405280317967, -0.9553166210315576, 7.492509847420881, 7.568176020492463)","(1, 2101)",0.14032601488948546,4.267473808298593
,,2112,"(-0.28651505358557977, 1.3789908107278905, 9.472637645471963, 9.62275232349434)","(1, 2101)",0.1476038475776761,1.7756532377995213
,,211,"(-0.16102125224691885, -0.9243459847485712, 9.399379481404074, 9.447124311849395)","(223, 90)",0.0994925463948583,4.539919456464493
,,-211,"(0.03353914694207663, -0.30022726531417765, 6.27511231045283, 6.283929947008663)","(223, 90)",0.04810460055324316,4.823640245337055
,,22,"(-0.19419709192575307, -0.18774289626390098, 3.257755896506731, 3.2689345950683006)","(111, 90)",0.08272396548739634,3.910093970314839
,,22,"(-0.09512522416067577, -0.2348543851968705, 4.153890721097673, 4.161611888840569)","(111, 90)",0.060924626217790996,4.32754605780568
,,,,,,
,,-13,"(0.5411049562637021, -1.0276643074334604, 48.63151285118981, 48.645494084586154)","(-13, 90)",0.02387743658940039,5.197041395204563
,,39,"(1.4397262143521232, 3.314286736520155, 348.93213292900407, 349.5208116026751)","(39, 39)",0.010355482452402457,1.1609907976550795
,,22,"(2.7265734175123627e-07, -4.972130499211756e-07, 2.2679021278026393e-05, 2.2686109604165204e-05)","(22, 22)",0.024998741128434258,5.213980851569184
,,-211,"(-0.883842374539749, -0.329906709242601, 16.98797707673727, 17.01472482071004)","(1, 2101)",0.05547679049446663,3.498840651267639
,,211,"(0.16186357714863397, -0.9060361193613129, 9.946018851154168, 9.989488076954135)","(1, 2101)",0.09227484227855028,4.889174218844675
